Date,Cloud,RootEntity,HierarchyLevel1,HierarchyLevel2,HierarchyLevel3,Service,Category,UsageType,Cost (USD),Tags,Dimensions
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1004,TagGroup-Test,EC2,Infra Spend,Reserved,656.82,"{'env': 'test', 'team': 'Platform', 'app': 'data-warehouse', 'costCenter': 'CC-1336'}","{'region': 'europe-west1', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
2025-06-01,AWS,Org-Root-123,OU-Prod,Acc-1003,TagGroup-Prod,EC2,Infra Spend,Spot,2274.69,"{'env': 'test', 'team': 'FinOps', 'app': 'data-warehouse', 'costCenter': 'CC-1741'}","{'region': 'us-east-1', 'billingSource': 'CostExplorerAPI', 'sku': 'gpt-4'}"
2025-06-01,AWS,Org-Root-123,OU-Finance,Acc-1010,TagGroup-Dev,EC2,Infra Spend,Reserved,403.2,"{'env': 'dev', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1538'}","{'region': 'westus', 'billingSource': 'CostManagementAPI', 'sku': 'gpt-4'}"
2025-06-01,AWS,Org-Root-123,OU-Finance,Acc-1003,TagGroup-Test,S3,Infra Spend,Reserved,1165.85,"{'env': 'test', 'team': 'AI-Research', 'app': 'etl-pipeline', 'costCenter': 'CC-1911'}","{'region': 'asia-south1', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,AWS,Org-Root-123,OU-Finance,Acc-1006,TagGroup-Prod,S3,Infra Spend,Reserved,2151.34,"{'env': 'dev', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1830'}","{'region': 'us-west-2', 'billingSource': 'CostManagementAPI', 'sku': 'standard'}"
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1008,TagGroup-Prod,S3,Infra Spend,Reserved,2786.29,"{'env': 'prod', 'team': 'DataEng', 'app': 'chatbot', 'costCenter': 'CC-1525'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,AWS,Org-Root-123,OU-Finance,Acc-1008,TagGroup-Prod,RDS,Infra Spend,Reserved,258.47,"{'env': 'dev', 'team': 'AI-Research', 'app': 'genai-api', 'costCenter': 'CC-1299'}","{'region': 'us-east-1', 'billingSource': 'BigQueryExport', 'sku': 'gpt-4'}"
2025-06-01,AWS,Org-Root-123,OU-Prod,Acc-1001,TagGroup-Prod,RDS,Infra Spend,Preemptible,1173.18,"{'env': 'prod', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1306'}","{'region': 'us-west-2', 'billingSource': 'CostExplorerAPI', 'sku': 'standard'}"
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1006,TagGroup-Test,RDS,Infra Spend,Reserved,1356.22,"{'env': 'prod', 'team': 'Platform', 'app': 'genai-api', 'costCenter': 'CC-1587'}","{'region': 'asia-south1', 'billingSource': 'CostExplorerAPI', 'sku': 'premium'}"
2025-06-01,AWS,Org-Root-123,OU-Research,Acc-1002,TagGroup-Prod,SageMaker,AI Spend,Spot,2356.03,"{'env': 'test', 'team': 'FinOps', 'app': 'genai-api', 'costCenter': 'CC-1164'}","{'region': 'westus', 'billingSource': 'BigQueryExport', 'sku': 'premium'}"
